claim_id,year,quarter,region,segment,claim_type,incurred_amount_eur,status,date_of_loss
CLM-10048,2023,1,Catalonia,Private Motor,Collision,923587.03,Closed,23/01/2023
CLM-10049,2023,1,Catalonia,Private Motor,Third-party liability,676508.6,Closed,06/03/2023
CLM-10050,2023,1,Catalonia,Private Motor,Windscreen,55767.0,Closed,09/02/2023
CLM-10051,2023,1,Catalonia,Private Motor,Third-party liability,157286.47,Closed,12/03/2023
CLM-10052,2023,1,Catalonia,Private Motor,Third-party liability,1372478.65,Closed,07/02/2023
CLM-10053,2023,1,Catalonia,Private Motor,Collision,280251.26,Closed,19/01/2023
CLM-10054,2023,1,Catalonia,Private Motor,Weather damage,124777.54,Closed,31/01/2023
CLM-10055,2023,1,Catalonia,Private Motor,Theft,327035.59,Closed,19/01/2023
CLM-10056,2023,1,Catalonia,Private Motor,Total loss,889608.84,Closed,27/03/2023
CLM-10057,2023,1,Catalonia,Private Motor,Collision,126383.01,Closed,20/01/2023
CLM-10058,2023,1,Catalonia,Private Motor,Theft,397444.41,Closed,22/01/2023
CLM-10059,2023,1,Catalonia,Private Motor,Collision,297161.0,Closed,10/02/2023
CLM-10060,2023,1,Catalonia,Private Motor,Collision,232529.87,Closed,24/01/2023
CLM-10061,2023,1,Catalonia,Private Motor,Third-party liability,577164.35,Closed,12/03/2023
CLM-10062,2023,1,Catalonia,Private Motor,Windscreen,16431.64,Open,01/03/2023
CLM-10063,2023,1,Catalonia,Private Motor,Collision,541104.49,Closed,08/02/2023
CLM-10064,2023,1,Catalonia,Private Motor,Third-party liability,1255375.97,Closed,18/03/2023
CLM-10065,2023,1,Catalonia,Private Motor,Collision,259240.77,Closed,15/01/2023
CLM-10066,2023,1,Catalonia,Private Motor,Collision,746596.04,Closed,14/01/2023
CLM-10067,2023,1,Catalonia,Private Motor,Third-party liability,501889.93,Closed,27/03/2023
CLM-10068,2023,1,Catalonia,Private Motor,Third-party liability,692889.39,Closed,15/01/2023
CLM-10069,2023,1,Catalonia,Private Motor,Third-party liability,579277.14,Closed,19/02/2023
CLM-10070,2023,1,Catalonia,Private Motor,Third-party liability,765444.69,Closed,29/01/2023
CLM-10071,2023,1,Galicia,Commercial Fleet,Collision,482489.54,Closed,05/02/2023
CLM-10072,2023,1,Galicia,Motorcycle,Third-party liability,587993.11,Closed,10/03/2023
CLM-10073,2023,1,Galicia,Private Motor,Collision,872624.51,Closed,21/01/2023
CLM-10074,2023,1,Galicia,Private Motor,Weather damage,224948.24,Closed,27/03/2023
CLM-10075,2023,1,Galicia,Private Motor,Collision,323011.23,Closed,17/03/2023
CLM-10076,2023,1,Galicia,Private Motor,Windscreen,79145.32,Closed,19/02/2023
CLM-10077,2023,1,Galicia,Private Motor,Windscreen,47140.61,Closed,25/03/2023
CLM-10078,2023,1,Galicia,Private Motor,Collision,269480.31,Closed,20/02/2023
CLM-10079,2023,1,Galicia,Private Motor,Theft,857904.45,Closed,11/01/2023
CLM-10080,2023,1,Galicia,Private Motor,Total loss,657972.5,Closed,27/03/2023
CLM-10081,2023,1,Madrid,Commercial Fleet,Total loss,1133372.22,Closed,12/02/2023
CLM-10082,2023,1,Madrid,Commercial Fleet,Third-party liability,1555866.3,Open,09/03/2023
CLM-10083,2023,1,Madrid,Commercial Fleet,Theft,263294.23,Closed,30/01/2023
CLM-10084,2023,1,Madrid,Commercial Fleet,Third-party liability,477788.96,Closed,26/01/2023
CLM-10085,2023,1,Madrid,Commercial Fleet,Windscreen,45623.78,Open,15/02/2023
CLM-10086,2023,1,Madrid,Commercial Fleet,Collision,223731.45,Closed,21/01/2023
CLM-10087,2023,1,Madrid,Commercial Fleet,Collision,407544.58,Closed,11/02/2023
CLM-10088,2023,1,Madrid,Commercial Fleet,Third-party liability,1054697.48,Closed,08/02/2023
CLM-10089,2023,1,Madrid,Commercial Fleet,Theft,507429.74,Closed,29/01/2023
CLM-10090,2023,1,Madrid,Commercial Fleet,Collision,328944.46,Closed,09/03/2023
CLM-10091,2023,1,Madrid,Commercial Fleet,Third-party liability,477794.59,Open,31/03/2023
CLM-10092,2023,1,Madrid,Commercial Fleet,Third-party liability,756397.97,Closed,27/01/2023
CLM-10093,2023,1,Madrid,Commercial Fleet,Collision,221667.23,Closed,19/02/2023
CLM-10094,2023,1,Madrid,Commercial Fleet,Third-party liability,670832.34,Closed,12/02/2023
CLM-10095,2023,1,Madrid,Motorcycle,Theft,743156.01,Closed,06/01/2023
CLM-10096,2023,1,Madrid,Motorcycle,Theft,653893.55,Closed,31/03/2023
CLM-10097,2023,1,Madrid,Motorcycle,Theft,1532162.3,Closed,05/01/2023
CLM-10098,2023,1,Madrid,Motorcycle,Theft,662726.57,Open,11/01/2023
CLM-10099,2023,1,Madrid,Private Motor,Theft,497250.31,Closed,22/02/2023
CLM-10100,2023,1,Madrid,Private Motor,Windscreen,56528.68,Closed,26/01/2023
CLM-10101,2023,1,Madrid,Private Motor,Third-party liability,720059.94,Closed,03/02/2023
CLM-10102,2023,1,Madrid,Private Motor,Third-party liability,495567.67,Closed,15/03/2023
CLM-10103,2023,1,Madrid,Private Motor,Collision,232357.17,Closed,25/03/2023
CLM-10104,2023,1,Madrid,Private Motor,Collision,778124.48,Closed,17/01/2023
CLM-10105,2023,1,Madrid,Private Motor,Weather damage,387345.33,Closed,08/02/2023
CLM-10106,2023,1,Madrid,Private Motor,Weather damage,273392.59,Closed,09/02/2023
CLM-10107,2023,1,Madrid,Private Motor,Weather damage,746921.87,Closed,25/01/2023
CLM-10108,2023,1,Madrid,Private Motor,Weather damage,205906.8,Closed,20/01/2023
CLM-10109,2023,1,Madrid,Private Motor,Collision,307844.16,Closed,06/01/2023
CLM-10110,2023,1,Madrid,Private Motor,Collision,497441.01,Closed,21/02/2023
CLM-10111,2023,1,Madrid,Private Motor,Collision,145594.2,Closed,25/03/2023
CLM-10112,2023,1,Madrid,Private Motor,Collision,161679.82,Closed,29/03/2023
CLM-10113,2023,1,Madrid,Private Motor,Collision,687511.16,Closed,15/02/2023
CLM-10114,2023,1,Madrid,Private Motor,Collision,184624.42,Closed,03/02/2023
CLM-10115,2023,1,Madrid,Private Motor,Windscreen,118296.21,Closed,21/01/2023
CLM-10116,2023,1,Madrid,Private Motor,Collision,277264.12,Closed,05/03/2023
CLM-10117,2023,1,Madrid,Private Motor,Collision,304914.6,Closed,22/02/2023
CLM-10118,2023,1,Madrid,Private Motor,Theft,840960.97,Closed,22/02/2023
CLM-10119,2023,1,Madrid,Private Motor,Windscreen,89118.38,Closed,19/01/2023
CLM-10120,2023,1,Madrid,Private Motor,Collision,202360.33,Closed,11/02/2023
CLM-10121,2023,1,Madrid,Private Motor,Theft,376357.08,Closed,29/01/2023
CLM-10122,2023,1,Madrid,Private Motor,Collision,364303.42,Closed,13/01/2023
CLM-10123,2023,1,Madrid,Private Motor,Total loss,929106.99,Closed,27/03/2023
CLM-10124,2023,1,Valencia,Commercial Fleet,Collision,707583.29,Closed,31/03/2023
CLM-10125,2023,1,Valencia,Commercial Fleet,Weather damage,172395.17,Closed,29/03/2023
CLM-10126,2023,1,Valencia,Commercial Fleet,Third-party liability,543928.84,Closed,02/02/2023
CLM-10127,2023,1,Valencia,Commercial Fleet,Theft,379547.03,Closed,21/03/2023
CLM-10128,2023,1,Valencia,Commercial Fleet,Theft,400534.37,Closed,25/03/2023
CLM-10129,2023,1,Valencia,Motorcycle,Third-party liability,896097.69,Closed,22/01/2023
CLM-10130,2023,1,Valencia,Motorcycle,Third-party liability,624797.34,Closed,19/03/2023
CLM-10131,2023,1,Valencia,Motorcycle,Third-party liability,376303.51,Closed,15/03/2023
CLM-10132,2023,1,Valencia,Private Motor,Theft,414279.6,Closed,19/02/2023
CLM-10133,2023,1,Valencia,Private Motor,Weather damage,476699.28,Closed,18/01/2023
CLM-10134,2023,1,Valencia,Private Motor,Weather damage,262282.36,Closed,25/03/2023
CLM-10135,2023,1,Valencia,Private Motor,Collision,350848.49,Closed,13/03/2023
CLM-10136,2023,1,Valencia,Private Motor,Collision,573469.14,Closed,29/01/2023
CLM-10137,2023,1,Valencia,Private Motor,Weather damage,149214.69,Open,26/03/2023
CLM-10138,2023,1,Valencia,Private Motor,Collision,208694.91,Closed,31/03/2023
CLM-10139,2023,1,Valencia,Private Motor,Theft,935873.29,Closed,03/02/2023
CLM-10140,2023,1,Valencia,Private Motor,Collision,677813.77,Closed,23/01/2023
CLM-10141,2023,1,Valencia,Private Motor,Collision,193022.06,Closed,14/01/2023
CLM-10142,2023,1,Valencia,Private Motor,Collision,640966.46,Open,11/03/2023
CLM-10143,2023,1,Valencia,Private Motor,Weather damage,221847.94,Closed,27/01/2023
CLM-10144,2023,1,Valencia,Private Motor,Collision,147837.3,Closed,03/02/2023
CLM-10145,2023,1,Valencia,Private Motor,Weather damage,347442.79,Closed,23/02/2023
CLM-10146,2023,1,Valencia,Private Motor,Theft,289108.01,Closed,22/01/2023
CLM-10147,2023,1,Valencia,Private Motor,Collision,228406.05,Closed,03/02/2023
CLM-10148,2023,1,Valencia,Private Motor,Collision,553079.11,Closed,06/02/2023
CLM-10149,2023,1,Valencia,Private Motor,Collision,328432.22,Closed,15/02/2023
CLM-10150,2023,2,Andalusia,Commercial Fleet,Third-party liability,634280.53,Closed,08/04/2023
CLM-10151,2023,2,Andalusia,Commercial Fleet,Collision,264107.02,Closed,25/06/2023
CLM-10152,2023,2,Andalusia,Commercial Fleet,Collision,192029.3,Open,11/05/2023
CLM-10153,2023,2,Andalusia,Commercial Fleet,Third-party liability,901310.97,Closed,07/04/2023
CLM-10154,2023,2,Andalusia,Commercial Fleet,Theft,616651.18,Closed,27/05/2023
CLM-10155,2023,2,Andalusia,Commercial Fleet,Theft,840487.7,Closed,04/04/2023
CLM-10156,2023,2,Andalusia,Commercial Fleet,Total loss,589005.99,Closed,11/05/2023
CLM-10157,2023,2,Andalusia,Commercial Fleet,Weather damage,230866.57,Closed,22/05/2023
CLM-10158,2023,2,Andalusia,Commercial Fleet,Third-party liability,656121.77,Closed,23/04/2023
CLM-10159,2023,2,Andalusia,Commercial Fleet,Weather damage,102233.65,Closed,21/04/2023
CLM-10160,2023,2,Andalusia,Commercial Fleet,Windscreen,86544.73,Closed,16/05/2023
CLM-10161,2023,2,Andalusia,Motorcycle,Theft,318056.69,Closed,24/05/2023
CLM-10162,2023,2,Andalusia,Motorcycle,Collision,519727.11,Closed,04/06/2023
CLM-10163,2023,2,Andalusia,Motorcycle,Collision,566005.26,Closed,17/05/2023
CLM-10164,2023,2,Andalusia,Private Motor,Weather damage,247369.81,Closed,15/06/2023
CLM-10165,2023,2,Andalusia,Private Motor,Weather damage,344971.17,Closed,18/06/2023
CLM-10166,2023,2,Andalusia,Private Motor,Theft,428556.33,Closed,16/05/2023
CLM-10167,2023,2,Andalusia,Private Motor,Theft,1152265.34,Closed,02/04/2023
CLM-10168,2023,2,Andalusia,Private Motor,Windscreen,34739.8,Closed,03/05/2023
CLM-10169,2023,2,Andalusia,Private Motor,Total loss,1294373.66,Closed,09/05/2023
CLM-10170,2023,2,Andalusia,Private Motor,Collision,222008.41,Closed,07/04/2023
CLM-10171,2023,2,Andalusia,Private Motor,Total loss,614437.81,Closed,12/06/2023
CLM-10172,2023,2,Andalusia,Private Motor,Collision,523223.11,Closed,27/06/2023
CLM-10173,2023,2,Andalusia,Private Motor,Total loss,864172.75,Closed,14/04/2023
CLM-10174,2023,2,Andalusia,Private Motor,Collision,196609.05,Closed,16/06/2023
CLM-10175,2023,2,Andalusia,Private Motor,Windscreen,124908.54,Closed,24/06/2023
CLM-10176,2023,2,Andalusia,Private Motor,Windscreen,33314.6,Closed,11/04/2023
CLM-10177,2023,2,Andalusia,Private Motor,Weather damage,365500.63,Closed,02/06/2023
CLM-10178,2023,2,Andalusia,Private Motor,Collision,160733.06,Closed,27/06/2023
CLM-10179,2023,2,Andalusia,Private Motor,Total loss,538944.78,Closed,03/05/2023
CLM-10180,2023,2,Andalusia,Private Motor,Theft,520178.27,Closed,03/05/2023
CLM-10181,2023,2,Andalusia,Private Motor,Theft,264035.0,Open,08/05/2023
CLM-10182,2023,2,Andalusia,Private Motor,Total loss,1058258.0,Closed,14/06/2023
CLM-10183,2023,2,Andalusia,Private Motor,Collision,488712.75,Closed,26/04/2023
CLM-10184,2023,2,Andalusia,Private Motor,Theft,559738.87,Open,21/06/2023
CLM-10185,2023,2,Andalusia,Private Motor,Total loss,506650.95,Closed,01/05/2023
CLM-10186,2023,2,Andalusia,Private Motor,Collision,423237.46,Closed,01/05/2023
CLM-10187,2023,2,Andalusia,Private Motor,Collision,248307.29,Closed,15/04/2023
CLM-10188,2023,2,Andalusia,Private Motor,Theft,338654.03,Closed,27/05/2023
CLM-10189,2023,2,Andalusia,Private Motor,Collision,334145.0,Closed,21/06/2023
CLM-10190,2023,2,Andalusia,Private Motor,Third-party liability,514933.23,Closed,04/06/2023
CLM-10191,2023,2,Basque Country,Commercial Fleet,Collision,521318.6,Closed,29/05/2023
CLM-10192,2023,2,Basque Country,Commercial Fleet,Windscreen,78236.86,Closed,20/04/2023
CLM-10193,2023,2,Basque Country,Commercial Fleet,Third-party liability,943161.03,Closed,17/04/2023
CLM-10194,2023,2,Basque Country,Commercial Fleet,Collision,574736.04,Closed,29/04/2023
CLM-10195,2023,2,Basque Country,Commercial Fleet,Collision,238647.82,Closed,14/05/2023
CLM-10196,2023,2,Basque Country,Commercial Fleet,Collision,568249.39,Closed,21/04/2023
CLM-10197,2023,2,Basque Country,Commercial Fleet,Windscreen,57241.75,Closed,26/06/2023
CLM-10198,2023,2,Basque Country,Motorcycle,Collision,356758.79,Closed,12/05/2023
CLM-10199,2023,2,Basque Country,Private Motor,Collision,257114.44,Closed,26/05/2023
CLM-10200,2023,2,Basque Country,Private Motor,Collision,327958.99,Closed,10/05/2023
CLM-10201,2023,2,Basque Country,Private Motor,Collision,297789.02,Closed,07/05/2023
CLM-10202,2023,2,Catalonia,Commercial Fleet,Collision,149754.73,Closed,05/06/2023
CLM-10203,2023,2,Catalonia,Commercial Fleet,Theft,663341.79,Open,15/05/2023
CLM-10204,2023,2,Catalonia,Commercial Fleet,Theft,374885.1,Closed,11/04/2023
CLM-10205,2023,2,Catalonia,Commercial Fleet,Third-party liability,1844027.68,Closed,18/06/2023
CLM-10206,2023,2,Catalonia,Commercial Fleet,Collision,261817.48,Closed,24/05/2023
CLM-10207,2023,2,Catalonia,Commercial Fleet,Total loss,950376.08,Closed,21/06/2023
CLM-10208,2023,2,Catalonia,Commercial Fleet,Third-party liability,1409874.61,Closed,06/04/2023
CLM-10209,2023,2,Catalonia,Commercial Fleet,Theft,880254.09,Closed,06/06/2023
CLM-10210,2023,2,Catalonia,Commercial Fleet,Collision,207170.91,Closed,28/06/2023
CLM-10211,2023,2,Catalonia,Commercial Fleet,Theft,454318.67,Closed,28/05/2023
CLM-10212,2023,2,Catalonia,Commercial Fleet,Theft,630384.28,Closed,09/04/2023
CLM-10213,2023,2,Catalonia,Commercial Fleet,Third-party liability,497057.43,Closed,10/06/2023
CLM-10214,2023,2,Catalonia,Commercial Fleet,Windscreen,47187.95,Closed,10/06/2023
CLM-10215,2023,2,Catalonia,Commercial Fleet,Third-party liability,636324.19,Closed,09/05/2023
CLM-10216,2023,2,Catalonia,Commercial Fleet,Weather damage,183681.97,Closed,30/05/2023
CLM-10217,2023,2,Catalonia,Commercial Fleet,Total loss,595224.21,Closed,17/05/2023
CLM-10218,2023,2,Catalonia,Motorcycle,Third-party liability,951279.44,Closed,05/06/2023
CLM-10219,2023,2,Catalonia,Motorcycle,Third-party liability,315865.0,Closed,26/06/2023
CLM-10220,2023,2,Catalonia,Motorcycle,Third-party liability,1558890.88,Closed,27/06/2023
CLM-10221,2023,2,Catalonia,Motorcycle,Third-party liability,884888.21,Closed,24/05/2023
CLM-10222,2023,2,Catalonia,Motorcycle,Collision,259198.95,Closed,09/05/2023
CLM-10223,2023,2,Catalonia,Private Motor,Third-party liability,461609.19,Closed,01/06/2023
CLM-10224,2023,2,Catalonia,Private Motor,Windscreen,31788.63,Closed,14/04/2023
CLM-10225,2023,2,Catalonia,Private Motor,Collision,188681.52,Closed,03/05/2023
CLM-10226,2023,2,Catalonia,Private Motor,Third-party liability,485395.6,Closed,13/05/2023
CLM-10227,2023,2,Catalonia,Private Motor,Collision,530456.92,Closed,17/06/2023
CLM-10228,2023,2,Catalonia,Private Motor,Third-party liability,551158.24,Closed,10/05/2023
CLM-10229,2023,2,Catalonia,Private Motor,Total loss,716406.51,Closed,19/05/2023
CLM-10230,2023,2,Catalonia,Private Motor,Weather damage,244362.71,Open,15/05/2023
CLM-10231,2023,2,Catalonia,Private Motor,Third-party liability,789406.06,Closed,20/04/2023
CLM-10232,2023,2,Catalonia,Private Motor,Collision,233884.06,Closed,18/05/2023
CLM-10233,2023,2,Catalonia,Private Motor,Windscreen,39054.55,Closed,04/05/2023
CLM-10234,2023,2,Catalonia,Private Motor,Third-party liability,719898.81,Closed,26/04/2023
CLM-10235,2023,2,Catalonia,Private Motor,Windscreen,19098.7,Open,09/06/2023
CLM-10236,2023,2,Catalonia,Private Motor,Weather damage,290470.57,Closed,10/04/2023
CLM-10237,2023,2,Catalonia,Private Motor,Third-party liability,422574.62,Open,18/06/2023
CLM-10238,2023,2,Catalonia,Private Motor,Third-party liability,380336.06,Closed,02/05/2023
CLM-10239,2023,2,Catalonia,Private Motor,Third-party liability,458034.69,Closed,20/05/2023
CLM-10240,2023,2,Catalonia,Private Motor,Collision,268122.57,Closed,24/05/2023
CLM-10241,2023,2,Catalonia,Private Motor,Third-party liability,561744.99,Closed,19/05/2023
CLM-10242,2023,2,Catalonia,Private Motor,Total loss,530551.71,Closed,27/04/2023
CLM-10243,2023,2,Catalonia,Private Motor,Collision,277179.67,Open,25/05/2023
CLM-10244,2023,2,Catalonia,Private Motor,Windscreen,81435.84,Closed,01/04/2023
CLM-10245,2023,2,Catalonia,Private Motor,Third-party liability,380803.34,Closed,07/04/2023
CLM-10246,2023,2,Catalonia,Private Motor,Total loss,781455.62,Closed,11/06/2023
CLM-10247,2023,2,Galicia,Commercial Fleet,Windscreen,60158.12,Closed,24/05/2023
CLM-10248,2023,2,Galicia,Commercial Fleet,Collision,929709.35,Closed,06/05/2023
CLM-10249,2023,2,Galicia,Motorcycle,Total loss,1101119.8,Closed,07/05/2023
CLM-10250,2023,2,Galicia,Private Motor,Third-party liability,1123845.94,Closed,27/06/2023
CLM-10251,2023,2,Galicia,Private Motor,Weather damage,226416.66,Closed,19/05/2023
CLM-10252,2023,2,Galicia,Private Motor,Weather damage,590851.91,Closed,25/05/2023
CLM-10253,2023,2,Galicia,Private Motor,Collision,478447.17,Closed,16/06/2023
CLM-10254,2023,2,Galicia,Private Motor,Weather damage,203803.96,Closed,20/05/2023
CLM-10255,2023,2,Galicia,Private Motor,Collision,764510.61,Closed,07/06/2023
CLM-10256,2023,2,Madrid,Commercial Fleet,Third-party liability,617827.07,Closed,17/05/2023
CLM-10257,2023,2,Madrid,Commercial Fleet,Total loss,611321.05,Closed,21/05/2023
CLM-10258,2023,2,Madrid,Commercial Fleet,Total loss,438261.91,Closed,10/06/2023
CLM-10259,2023,2,Madrid,Commercial Fleet,Windscreen,42154.66,Open,22/04/2023
CLM-10260,2023,2,Madrid,Commercial Fleet,Theft,544833.21,Closed,25/05/2023
CLM-10261,2023,2,Madrid,Commercial Fleet,Total loss,832947.71,Closed,16/05/2023
CLM-10262,2023,2,Madrid,Commercial Fleet,Windscreen,36597.57,Closed,05/05/2023
CLM-10263,2023,2,Madrid,Commercial Fleet,Collision,296446.18,Closed,13/05/2023
CLM-10264,2023,2,Madrid,Commercial Fleet,Total loss,735786.49,Open,18/04/2023
CLM-10265,2023,2,Madrid,Commercial Fleet,Third-party liability,506228.69,Closed,11/05/2023
CLM-10266,2023,2,Madrid,Commercial Fleet,Third-party liability,699228.94,Closed,04/04/2023
CLM-10267,2023,2,Madrid,Private Motor,Third-party liability,669276.01,Closed,19/04/2023
CLM-10268,2023,2,Madrid,Private Motor,Weather damage,273777.92,Closed,05/05/2023
CLM-10269,2023,2,Madrid,Private Motor,Collision,435912.53,Closed,02/06/2023
CLM-10270,2023,2,Madrid,Private Motor,Windscreen,54888.1,Closed,04/06/2023
CLM-10271,2023,2,Madrid,Private Motor,Windscreen,60829.35,Closed,27/06/2023
CLM-10272,2023,2,Madrid,Private Motor,Total loss,655418.85,Closed,05/04/2023
CLM-10273,2023,2,Madrid,Private Motor,Weather damage,184673.82,Closed,16/04/2023
CLM-10274,2023,2,Madrid,Private Motor,Weather damage,201281.53,Closed,27/04/2023
CLM-10275,2023,2,Madrid,Private Motor,Theft,393578.45,Closed,01/04/2023
CLM-10276,2023,2,Madrid,Private Motor,Collision,277693.73,Closed,07/06/2023
CLM-10277,2023,2,Madrid,Private Motor,Collision,474203.02,Open,27/06/2023
CLM-10278,2023,2,Madrid,Private Motor,Collision,443922.4,Closed,17/06/2023
CLM-10279,2023,2,Madrid,Private Motor,Collision,229332.17,Open,06/06/2023
CLM-10280,2023,2,Madrid,Private Motor,Third-party liability,1563659.57,Closed,08/05/2023
CLM-10281,2023,2,Madrid,Private Motor,Total loss,461565.86,Closed,14/05/2023
CLM-10282,2023,2,Madrid,Private Motor,Theft,706874.79,Closed,01/06/2023
CLM-10283,2023,2,Madrid,Private Motor,Windscreen,52470.59,Closed,18/06/2023
CLM-10284,2023,2,Madrid,Private Motor,Collision,196975.41,Closed,11/06/2023
CLM-10285,2023,2,Madrid,Private Motor,Third-party liability,844613.45,Closed,13/04/2023
CLM-10286,2023,2,Madrid,Private Motor,Third-party liability,556228.5,Closed,01/06/2023
CLM-10287,2023,2,Madrid,Private Motor,Collision,312013.17,Closed,11/06/2023
CLM-10288,2023,2,Madrid,Private Motor,Windscreen,100310.79,Closed,13/06/2023
CLM-10289,2023,2,Valencia,Commercial Fleet,Third-party liability,472285.54,Closed,20/06/2023
CLM-10290,2023,2,Valencia,Commercial Fleet,Weather damage,181573.79,Closed,27/06/2023
CLM-10291,2023,2,Valencia,Commercial Fleet,Collision,426268.54,Closed,24/06/2023
CLM-10292,2023,2,Valencia,Commercial Fleet,Weather damage,364094.47,Closed,22/06/2023
CLM-10293,2023,2,Valencia,Commercial Fleet,Collision,156667.18,Closed,15/04/2023
CLM-10294,2023,2,Valencia,Commercial Fleet,Weather damage,211922.8,Closed,09/04/2023
CLM-10295,2023,2,Valencia,Commercial Fleet,Collision,1069349.97,Closed,25/06/2023
CLM-10296,2023,2,Valencia,Commercial Fleet,Collision,745928.35,Closed,28/05/2023
CLM-10297,2023,2,Valencia,Commercial Fleet,Weather damage,389832.02,Closed,10/05/2023
CLM-10298,2023,2,Valencia,Commercial Fleet,Collision,334716.74,Closed,18/04/2023
CLM-10299,2023,2,Valencia,Commercial Fleet,Third-party liability,569862.97,Closed,29/04/2023
CLM-10300,2023,2,Valencia,Commercial Fleet,Total loss,1239318.75,Closed,29/04/2023
CLM-10301,2023,2,Valencia,Commercial Fleet,Theft,800939.17,Closed,15/05/2023
CLM-10302,2023,2,Valencia,Motorcycle,Third-party liability,930066.92,Closed,02/05/2023
CLM-10303,2023,2,Valencia,Motorcycle,Collision,706945.65,Closed,12/06/2023
